PERMNO,date,TICKER
12369,20201230,GM
12369,20201231,GM
12490,20201201,IBM
12490,20201202,IBM
12490,20201203,IBM
12490,20201204,IBM
12490,20201207,IBM
12490,20201208,IBM
12490,20201209,IBM
12490,20201210,IBM
12490,20201211,IBM
12490,20201214,IBM
12490,20201215,IBM
12490,20201216,IBM
12490,20201217,IBM
12490,20201218,IBM
12490,20201221,IBM
12490,20201222,IBM
12490,20201223,IBM
12490,20201224,IBM
12490,20201228,IBM
12490,20201229,IBM
12490,20201230,IBM
12490,20201231,IBM
13407,20201201,FB
13407,20201202,FB
13407,20201203,FB
13407,20201204,FB
13407,20201207,FB
13407,20201208,FB
13407,20201209,FB
13407,20201210,FB
13407,20201211,FB
13407,20201214,FB
13407,20201215,FB
13407,20201216,FB
13407,20201217,FB
13407,20201218,FB
13407,20201221,FB
13407,20201222,FB
13407,20201223,FB
13407,20201224,FB
13407,20201228,FB
13407,20201229,FB
13407,20201230,FB
13407,20201231,FB
13901,20201201,MO
13901,20201202,MO
13901,20201203,MO
13901,20201204,MO
13901,20201207,MO
13901,20201208,MO
13901,20201209,MO
13901,20201210,MO
13901,20201211,MO
13901,20201214,MO
13901,20201215,MO
13901,20201216,MO
13901,20201217,MO
13901,20201218,MO
13901,20201221,MO
13901,20201222,MO
13901,20201223,MO
13901,20201224,MO
13901,20201228,MO
13901,20201229,MO
13901,20201230,MO
13901,20201231,MO
14328,20201201,AMC
14328,20201202,AMC
14328,20201203,AMC
14328,20201204,AMC
14328,20201207,AMC
14328,20201208,AMC
14328,20201209,AMC
14328,20201210,AMC
14328,20201211,AMC
14328,20201214,AMC
14328,20201215,AMC
14328,20201216,AMC
14328,20201217,AMC
14328,20201218,AMC
14328,20201221,AMC
14328,20201222,AMC
14328,20201223,AMC
14328,20201224,AMC
14328,20201228,AMC
14328,20201229,AMC
14328,20201230,AMC
14328,20201231,AMC
14593,20201201,AAPL
14593,20201202,AAPL
14593,20201203,AAPL
14593,20201204,AAPL
14593,20201207,AAPL
14593,20201208,AAPL
14593,20201209,AAPL
14593,20201210,AAPL
14593,20201211,AAPL
14593,20201214,AAPL
14593,20201215,AAPL
14593,20201216,AAPL
